sample	TAL1	MEIS1	RUNX1	NPM1	FLT3	MPO	SPI1	ELANE	IDH1	KIT	GATA1	KLF1	DNMT3A	CSF3R	GATA2	IDH2	SOD1	cell_type
CD8+Effec.Mem.RA.2	6.73835549374	5.92020092944	11.8538691611	13.0359586986	5.32318168726	5.90729212901	5.16909243851	5.37986697685	10.8081669897	5.82065502426	5.47096666754	6.2001595314	5.61470294333	5.77701410275	5.95941562783	9.20572969048	11.001101793	CD8+Effec
CD8+Effec.Mem.RA.3	5.7023539156	5.12785580404	12.0357597636	12.8121484662	5.35816268866	5.7211317301	5.95799257795	5.28427593333	10.5544548824	5.97844300632	5.73689243715	5.30146716185	5.47803024575	5.14700613017	5.8480112986	9.16580502173	10.9690125881	CD8+Effec
CFU-Granulo	9.19394218439	5.84454247682	11.8177083901	13.0766631515	5.57250138799	5.97728248677	6.52352381849	5.32047089684	10.6016888463	6.56942803924	5.76564012549	5.7760662818	5.9933437394	5.14957565143	5.98193431896	9.00744634242	10.9564071065	CFU-Granulo
CFU-Granulo.1	6.53572364251	5.27395033245	11.5126925798	13.0858496705	5.45461123689	5.7026499181	6.39535415642	5.13088023263	10.6610917443	7.15031602232	5.3635910641	5.34053970117	5.90006046697	5.21709164572	5.52975223156	8.75960129728	10.810858305	CFU-Granulo
CFU-Granulo.2	12.2661528143	6.3603013056	11.0295947415	13.0765143182	6.46004371667	10.6926655246	5.93105153863	7.01558322248	11.1726711685	8.04783010468	5.88671991408	9.72234045555	5.47216592845	5.24418144626	7.55654449922	9.21868312756	11.6024773936	CFU-Granulo
CFU-Granulo.3	10.4352425965	6.39675372691	11.2181785484	13.1694082311	6.82661141541	9.22936251737	6.33531903631	5.84305580242	11.0364307035	7.78239330431	5.33067663197	6.48752647904	5.70206294397	5.24292373652	8.00658896808	8.64989899464	10.8779198475	CFU-Granulo
CFU-Granulo.4	10.5233454922	6.8025920002	11.3818486288	13.0931984682	5.63280543079	11.3685013458	6.80499154893	9.06422394464	11.4306930771	7.86912026429	5.6497082935	7.77351149083	5.92930501467	5.75713735907	6.99870408981	9.02450310456	10.8388094032	CFU-Granulo
CFU-Megakaryo	13.0757856992	9.29575534704	10.7248030351	12.2033835676	5.53024091093	6.74904309024	6.23807214548	5.37993341072	10.1677425137	6.68464180598	5.87491320153	6.86764181618	6.14713325953	5.40087010581	9.55151418074	7.65694597927	10.0321895468	CFU-Megakaryo
CFU-Megakaryo.1	12.260365688	8.57203888976	11.1137274912	12.0095791821	5.51993170879	8.7244742853	6.12902502748	6.30777838623	10.7258446711	8.03390360822	6.00088952253	9.25137141373	5.96197093626	5.35595994158	9.75956057237	7.82237363577	10.5032378384	CFU-Megakaryo
CFU-Megakaryo.2	11.8008136147	8.6601386546	11.45134119	12.2895593421	5.95346135654	8.32104876734	6.33389577347	5.48912953135	10.9105749675	8.60447567169	5.96181784479	8.70700992263	5.87498551787	5.30343362861	9.53054471961	7.60967311792	10.2764986883	CFU-Megakaryo
