sample	cell_type	coarse_type	Bcell	DC	Erythroid	HSC_like	Myeloid	T_NK
Early B-cell	Early B-cell	Bcell	0.5595704433291994	0.010419291838839542	0.033540591859237266	0.0014107193950897547	0.05087554954224522	0.3441834040353888
Early B-cell.1	Early B-cell	Bcell	0.33620189402667716	0.026148807757889726	0.023668089979458982	0.001427644806218776	0.07415416360369499	0.5383993998260603
Early B-cell.2	Early B-cell	Bcell	0.8445772042898382	0.0054633234122021795	0.03527946797469216	0.00017127785840702348	0.10777730034083392	0.0067314261240265065
Early B-cell.3	Early B-cell	Bcell	0.32648824677818716	0.0038444947073095572	0.1308983095258352	0.00031003029982665605	0.5376027455469717	0.0008561731418697819
Eosinophill	Eosinophill	Myeloid	0.037263962795713	0.035187030415627533	0.0407719525090761	0.00021287319722442668	0.8837878739376057	0.002776307144753203
Eosinophill.1	Eosinophill	Myeloid	0.02174427751085815	0.006962091054660168	0.06950757676894893	0.002446345572066494	0.6986322904277477	0.20070741866571845
Eosinophill.2	Eosinophill	Myeloid	0.00286310220421884	0.005693214858558885	0.0098714949282085	0.001090527562647507	0.979940707023566	0.0005409534228002695
Eosinophill.3	Eosinophill	Myeloid	0.04192858541639101	0.04167687928861521	0.06383168079075935	0.001346513539923277	0.8349467402581157	0.016269600706195337
Eosinophill.4	Eosinophill	Myeloid	0.03830081627569516	0.0004618701412132823	0.010911748067152654	0.0005881167597298255	0.9497223997088294	1.504904737958099e-05
Eryth.CD34+CD71+GlyA-	Eryth	Erythroid	1.0032300081641449e-05	3.555795896589073e-05	0.9964238222710065	0.0014178732284586546	0.0011994540639834904	0.000913260177503643
Eryth.CD34+CD71+GlyA-.1	Eryth	Erythroid	0.0001502732046470436	0.0015192591355641023	0.9235945021575174	0.0006484758822797274	0.07212275927444656	0.0019647303455452205
Eryth.CD34+CD71+GlyA-.2	Eryth	Erythroid	4.34366583457661e-05	0.0026625582698194873	0.6724712812337069	0.22399546988901856	0.10063830171153951	0.00018895223756971072
Eryth.CD34+CD71+GlyA-.3	Eryth	Erythroid	0.00020323412306542807	0.000565936713987072	0.9295012710331841	0.04277937432535845	0.026842960387658505	0.00010722341674633028
Eryth.CD34+CD71+GlyA-.4	Eryth	Erythroid	2.887459290902118e-05	0.0013168603449276832	0.9215160425145421	0.06490485785737818	0.011700277359138781	0.0005330873311040401
Eryth.CD34+CD71+GlyA-.5	Eryth	Erythroid	2.678513884495777e-06	7.220433437543281e-06	0.9941075477237561	0.0009462928332623629	0.004929861122251345	6.399373408049002e-06
Eryth.CD34+CD71+GlyA-.6	Eryth	Erythroid	5.824499811972512e-07	1.1210167575433511e-05	0.9986056807135828	0.00039384271119501736	0.00035411310275844767	0.0006345708549071711
Eryth.CD34-CD71+GlyA+	Eryth	Erythroid	1.344055827622493e-05	2.2464303882236263e-05	0.9980751636880872	4.836052387125523e-06	5.1072575713359847e-05	0.001833022821653736
Eryth.CD34-CD71+GlyA+.1	Eryth	Erythroid	9.296282403357157e-06	4.134896890371015e-05	0.9995586046013654	1.3418074567705545e-06	0.00028066258286013943	0.00010874575701079489
Eryth.CD34-CD71+GlyA+.2	Eryth	Erythroid	1.5723556278318588e-06	1.0283364160049471e-05	0.9994454439354331	3.2011149119188797e-06	1.7115516910310692e-05	0.0005223837129569246
Eryth.CD34-CD71+GlyA+.3	Eryth	Erythroid	4.561347623906782e-05	5.915645781244301e-05	0.9992458800839803	5.537505362889775e-06	0.0003621366495098133	0.0002816758270953962
Eryth.CD34-CD71+GlyA+.4	Eryth	Erythroid	2.29380081981548e-06	4.403705087698054e-05	0.9998332207514623	6.109907283561792e-06	2.1082591587977064e-05	9.325589796955193e-05
Eryth.CD34-CD71+GlyA+.5	Eryth	Erythroid	1.8121628442313464e-06	2.9542918379442937e-06	0.9995438658308442	8.35652587248991e-06	0.0004013210771053884	4.169011149572474e-05
Eryth.CD34-CD71+GlyA-	Eryth	Erythroid	0.2658491068478078	9.936920576303382e-06	0.718642931538164	0.001279193992515043	0.014218749982077207	8.071885945317177e-08
Eryth.CD34-CD71+GlyA-.1	Eryth	Erythroid	1.6878407886402422e-05	4.460926923327363e-06	0.9944784996839507	0.0021003034405459994	0.0033989300072482993	9.275334450441456e-07
Eryth.CD34-CD71+GlyA-.2	Eryth	Erythroid	0.0001159025796962516	6.336251139642017e-05	0.9937495464080631	0.000768005735745697	0.005180869295644475	0.00012231346945386644
Eryth.CD34-CD71+GlyA-.3	Eryth	Erythroid	0.0006732624152656123	4.85263419266591e-05	0.9450317424083323	0.02902038657431114	0.02522335347396627	2.7287861979620056e-06
Eryth.CD34-CD71+GlyA-.4	Eryth	Erythroid	1.707707866411997e-06	6.709533967393632e-06	0.9982305515570254	0.0012762617397124993	0.00046968981597655805	1.5079645451952134e-05
Eryth.CD34-CD71+GlyA-.5	Eryth	Erythroid	0.00010719603300971522	4.2530366202293495e-06	0.956455568414815	0.022809586653574816	0.020623260167214635	1.3569476581370357e-07
Eryth.CD34-CD71+GlyA-.6	Eryth	Erythroid	7.382044307116649e-07	5.289824530042669e-06	0.9978717597200989	0.0007295513479916556	0.001378479633488644	1.4181269459920736e-05
Eryth.CD34-CD71-GlyA+	Eryth	Erythroid	0.00028530132011093116	0.004041660206401465	0.9936737391437821	0.00022103649621646262	0.000826140664116979	0.0009521221693720858
Eryth.CD34-CD71-GlyA+.1	Eryth	Erythroid	1.0743650533057802e-05	0.00029983627914622945	0.9991821073766416	1.5292262146691703e-06	0.00021222868827304578	0.00029355477919180896
Eryth.CD34-CD71-GlyA+.2	Eryth	Erythroid	1.3162061355626943e-06	0.00011110490518142828	0.9977662325652965	1.7631987679337718e-05	0.00024875531246178764	0.00185495902324513
Eryth.CD34-CD71-GlyA+.3	Eryth	Erythroid	0.003524943476200688	0.003697560927617961	0.9733937415563821	1.6430689829637647e-05	0.004950596783072568	0.014416726566896722
Eryth.CD34-CD71-GlyA+.4	Eryth	Erythroid	2.8316053103175566e-06	4.883423187346571e-06	0.9993206855553466	4.384892370914971e-05	0.0005148514066951927	0.00011289908575147984
Eryth.CD34-CD71-GlyA+.5	Eryth	Erythroid	7.574710796188861e-05	4.957931618641807e-05	0.9929852496605893	0.00022583190282043176	0.00021817219748010043	0.006445419814961842
Eryth.CD34-CD71loGlyA+	Eryth	Erythroid	2.472203632165789e-05	0.00016348955727569885	0.9983515518263132	5.4657789512009353e-05	6.0090658077951604e-05	0.0013454881324992036
Eryth.CD34-CD71loGlyA+.1	Eryth	Erythroid	3.7906423285699113e-06	4.144922472257323e-05	0.9997414440366619	3.6890411183187013e-06	0.00014361744489971884	6.600961026896603e-05
Eryth.CD34-CD71loGlyA+.2	Eryth	Erythroid	7.537984420081355e-05	6.663324596022892e-05	0.9988890733309607	7.189878983388588e-07	6.440348255507835e-05	0.0009037911084248187
Eryth.CD34-CD71loGlyA+.3	Eryth	Erythroid	1.3389524066048058e-05	7.994095203302424e-05	0.9975843127589259	1.3810271111921695e-05	0.0016133656787238335	0.0006951808151394029
Eryth.CD34-CD71loGlyA+.4	Eryth	Erythroid	2.0565006797995595e-06	5.0513701343888926e-05	0.9958305906977004	0.0004669752348460957	0.0026582231105283516	0.0009916407549016536
Eryth.CD34-CD71loGlyA+.5	Eryth	Erythroid	4.4606700625442055e-05	2.7752650489655502e-05	0.9954414698036975	1.9546784823857262e-05	0.002407901246420392	0.002058722813943119
Eryth.CD34-CD71loGlyA+.6	Eryth	Erythroid	1.0739510958283393e-06	5.604225241996466e-06	0.9995225291331181	4.451225119259928e-06	2.876706523372602e-05	0.0004375744001910136
GMP	GMP	Myeloid	0.0002442594618421418	0.0003457970545286562	0.0028590862082262278	0.007464060280563683	0.9890845299840889	2.2670107503327267e-06
GMP.1	GMP	Myeloid	0.0005475078808074098	0.0011724143135579124	0.0017496178923560942	0.00956821299112325	0.9869590457198215	3.2012023337748596e-06
GMP.2	GMP	Myeloid	0.0012466922797621407	0.0008546121756257274	0.009336712242457544	0.001285088846806923	0.9871908003278579	8.609412748977195e-05
GMP.3	GMP	Myeloid	1.2402234348049476e-05	6.625094777292211e-05	0.8533398232123667	0.004566634888332954	0.14177191096832273	0.00024297774885690066
Gran.(Neutro Metamyelo)	Gran	Myeloid	0.17012332621432283	0.003951127730089457	0.024870127325577644	0.004358505845753705	0.7740312960854926	0.02266561679876373
Gran.(Neutro Metamyelo).1	Gran	Myeloid	0.008914126515510339	9.133764586907359e-05	0.004556869410475787	0.0004858620426384532	0.9858148700301947	0.00013693435531154336
Gran.(Neutro Metamyelo).2	Gran	Myeloid	0.035657954059374275	2.1191764279927415e-05	0.002876227008117028	0.0005512663426367845	0.9608703190197091	2.304180588292527e-05
Gran.(Neutro Metamyelo).3	Gran	Myeloid	0.03275942713262353	1.9380216630026266e-05	0.00459037546263418	0.0009385772624724037	0.9616806294202929	1.1610505347037678e-05
Granulo (Neutro)	Granulo (Neutro)	Myeloid	0.05340317730101209	0.001277735995661886	0.0014566073981840684	0.00047761326574195014	0.932293221667003	0.011091644372397017
Granulo (Neutro).1	Granulo (Neutro)	Myeloid	0.23030341093678108	0.00024864975444653767	0.022969481124529893	0.0007981693111771659	0.7455641331114252	0.00011615576163995456
